로그
2024-07-18 12:34:56 User: 홍길동 Action: Login ID:12345
2024-07-18 12:35:00 User: 김철수 Action: Purchase Amount: 2000
2024-07-18 12:36:10 User: 이영희 Action: Logout Time: 30s
2024-07-18 12:37:22 User: 박지성 Action: Login ID:67890
2024-07-18 12:38:44 User: 최강타 Action: Purchase Amount: 1500
2024-07-18 12:39:50 User: 장보고 Action: Logout Time: 25s
2024-07-18 12:40:56 User: 홍길동 Action: Purchase Amount: 3500
2024-07-18 12:41:00 User: 김철수 Action: Login ID:23456
2024-07-18 12:42:10 User: 이영희 Action: Purchase Amount: 3000
2024-07-18 12:43:22 User: 박지성 Action: Logout Time: 45s
2024-07-18 12:44:44 User: 최강타 Action: Login ID:78901
2024-07-18 12:45:50 User: 장보고 Action: Purchase Amount: 4000
2024-07-18 12:46:56 User: 홍길동 Action: Logout Time: 35s
2024-07-18 12:47:00 User: 김철수 Action: Purchase Amount: 2500
2024-07-18 12:48:10 User: 이영희 Action: Login ID:56789
2024-07-18 12:49:22 User: 박지성 Action: Purchase Amount: 4500
2024-07-18 12:50:44 User: 최강타 Action: Logout Time: 50s
2024-07-18 12:51:50 User: 장보고 Action: Login ID:34567
2024-07-18 12:52:56 User: 홍길동 Action: Purchase Amount: 5000
2024-07-18 12:53:00 User: 김철수 Action: Logout Time: 20s
2024-07-18 12:54:10 User: 이영희 Action: Purchase Amount: 5500
2024-07-18 12:55:22 User: 박지성 Action: Login ID:12346
2024-07-18 12:56:44 User: 최강타 Action: Purchase Amount: 6000
2024-07-18 12:57:50 User: 장보고 Action: Logout Time: 55s
2024-07-18 12:58:56 User: 홍길동 Action: Login ID:67891
2024-07-18 12:59:00 User: 김철수 Action: Purchase Amount: 6500
2024-07-18 13:00:10 User: 이영희 Action: Logout Time: 40s
2024-07-18 13:01:22 User: 박지성 Action: Purchase Amount: 7000
2024-07-18 13:02:44 User: 최강타 Action: Login ID:78902
2024-07-18 13:03:50 User: 장보고 Action: Purchase Amount: 7500
